epoch,train_loss,val_loss,val_mae,val_rmse,epoch_time_s
1,3.288832902908325,3.5697052478790283,1006.275390625,1356.64453125,10.66687536239624
2,2.9663569927215576,3.6091818809509277,1006.287841796875,1356.6531982421875,4.626509428024292
3,3.301736831665039,3.641913890838623,1006.2979736328125,1356.6600341796875,6.965593099594116
4,3.074578046798706,3.6781814098358154,1006.3089599609375,1356.6671142578125,6.95638370513916
5,3.175295352935791,3.708292007446289,1006.318115234375,1356.672607421875,6.483747243881226
6,3.07893705368042,3.7168569564819336,1006.3209228515625,1356.6729736328125,6.319016456604004
7,3.1348114013671875,3.747004508972168,1006.3310546875,1356.6788330078125,7.0225279331207275
8,3.2774081230163574,3.75734543800354,1006.336669921875,1356.680908203125,6.001528978347778
9,2.9681990146636963,3.7579264640808105,1006.3401489257812,1356.68115234375,7.020569801330566
10,3.1045761108398438,3.7597336769104004,1006.3446044921875,1356.6822509765625,6.249589204788208
11,3.1878268718719482,3.76806640625,1006.3521728515625,1356.68603515625,8.57655930519104
12,3.1901962757110596,3.7570714950561523,1006.3526611328125,1356.6839599609375,6.894933223724365
