epoch,phase,train_loss,val_loss,val_mae_kg,val_rmse_kg,is_best
75,Phase2_FineTune,0.0018522249794948628,0.00027546535406704957,90.1428,178.1616,False
76,Phase2_FineTune,0.001866459591752466,0.0002933076360092785,108.34034,200.49483,False
77,Phase2_FineTune,0.0017970333875649992,0.00040159562139216665,133.53314,208.32893,False
78,Phase2_FineTune,0.001779496916295851,0.0004217474516525936,150.89963,263.886,False
79,Phase2_FineTune,0.0017422126962200683,0.00023011656174695908,66.00593,137.95529,False
80,Phase2_FineTune,0.001765458650120041,0.0002448083938501301,59.546055,147.19635,False
81,Phase2_FineTune,0.001746295002864345,0.00022494435944071694,56.229195,144.58012,False
82,Phase2_FineTune,0.0017202205052051474,0.0002256886811944871,61.106205,146.16289,False
83,Phase2_FineTune,0.0016938301351140527,0.0002602665095204989,99.61021,206.5328,False
84,Phase2_FineTune,0.001685899040004348,0.00022616957134092585,53.302467,116.93779,False
85,Phase2_FineTune,0.001692463319255587,0.000231076273988807,73.13733,159.85358,False
86,Phase2_FineTune,0.0017261976458351402,0.0002784011297850296,95.91555,189.92017,False
87,Phase2_FineTune,0.0017475143362603643,0.000290746813754175,112.79513,210.89928,False
88,Phase2_FineTune,0.0017652480815099005,0.00026169040547056985,97.24757,187.00133,False
89,Phase2_FineTune,0.0016969512518057051,0.0002925654838551194,106.50157,201.94559,False
90,Phase2_FineTune,0.0017234943218200523,0.0002495040826033801,90.42498,189.20406,False
91,Phase2_FineTune,0.0016270847244681242,0.00023818365214258217,81.5326,158.96307,False
92,Phase2_FineTune,0.0016786593067295412,0.00021916326657516876,64.16078,152.04082,False
93,Phase2_FineTune,0.001683006579439868,0.0002528251363680913,95.328064,159.43756,False
94,Phase2_FineTune,0.0016364528585280128,0.00023536072100026874,69.52171,143.75795,False
95,Phase2_FineTune,0.0016591518418863417,0.00033180310744613124,132.03345,223.53879,False
96,Phase2_FineTune,0.001611226940911044,0.000294648328025897,112.181496,192.82256,False
97,Phase2_FineTune,0.001654080834979301,0.0003660283064863716,141.20087,238.25764,False
98,Phase2_FineTune,0.0015531913158209885,0.00023974640393694595,71.60611,171.50948,False
99,Phase2_FineTune,0.0016207662445273908,0.0002163246751409203,49.415092,127.613945,False
100,Phase2_FineTune,0.0015851087375160526,0.0003752209545032551,129.68037,226.27153,False
101,Phase2_FineTune,0.001592812077005339,0.000203122692955031,49.33931,141.0715,True
102,Phase2_FineTune,0.0016062804627889659,0.0002214230299054739,65.40066,169.62042,False
103,Phase2_FineTune,0.0015441178782459567,0.00023729527576786216,80.54521,171.86696,False
104,Phase2_FineTune,0.0016218170674298616,0.0002288331385128773,59.050903,125.84561,False
105,Phase2_FineTune,0.001521906877785702,0.00022635787144491376,56.564774,133.36366,False
106,Phase2_FineTune,0.0015433626482263207,0.0002578521626464163,61.594154,115.99705,False
107,Phase2_FineTune,0.0015385732376564513,0.0002427062122128868,87.52818,169.03078,False
108,Phase2_FineTune,0.0015271725146757328,0.00024783175474742445,76.25246,153.2682,False
109,Phase2_FineTune,0.0014985426685170215,0.0002590682541687364,100.13284,196.71715,False
110,Phase2_FineTune,0.001538669431636877,0.0002176084287314622,68.7105,158.12769,False
111,Phase2_FineTune,0.0015311137827880242,0.00025726486469815986,101.36738,200.34006,False
112,Phase2_FineTune,0.0015180242124616223,0.00025940430112733826,94.73054,198.83241,False
113,Phase2_FineTune,0.0015582040500114946,0.0002244773050873706,72.00342,168.47661,False
114,Phase2_FineTune,0.0015096502433366635,0.00019531821845493352,49.595943,124.703064,True
115,Phase2_FineTune,0.0014955678187748966,0.00023716952427303811,77.78447,171.71375,False
116,Phase2_FineTune,0.0015387850361602271,0.0002467316051899196,76.35946,160.92984,False
117,Phase2_FineTune,0.0015159206143032541,0.0002330970965326392,67.79377,139.34096,False
118,Phase2_FineTune,0.0015301437089767526,0.00021701245854134098,72.16594,156.13806,False
119,Phase2_FineTune,0.0014519103213816004,0.0002357271205255529,54.693832,119.36481,False
120,Phase2_FineTune,0.00152963070979561,0.00021111738295495833,69.95577,150.72105,False
