epoch,train_loss,val_loss,val_mae,val_rmse,epoch_time_s
1,3.3339805603027344,3.9195339679718018,1006.408935546875,1356.74609375,9.464936256408691
2,3.305079460144043,3.9195339679718018,1006.3948974609375,1356.7354736328125,5.519028902053833
3,3.4180774688720703,3.9195339679718018,1006.3860473632812,1356.7291259765625,7.541982889175415
4,3.2159788608551025,3.9158225059509277,1006.3743896484375,1356.7208251953125,5.868236780166626
5,3.500950574874878,3.8959784507751465,1006.3690185546875,1356.717041015625,7.177676439285278
6,3.4024038314819336,3.851938247680664,1006.3575439453125,1356.708740234375,5.772687911987305
7,3.3739724159240723,3.818394184112549,1006.3485717773438,1356.7021484375,7.088691234588623
8,3.2045419216156006,3.796720027923584,1006.3426513671875,1356.6978759765625,7.171013832092285
9,3.6655726432800293,3.7648935317993164,1006.3338623046875,1356.6915283203125,5.813291549682617
10,3.4330501556396484,3.738090753555298,1006.3262939453125,1356.6861572265625,7.446949481964111
11,3.207946300506592,3.71945858001709,1006.32080078125,1356.682373046875,5.975249290466309
12,3.3730053901672363,3.732058048248291,1006.3244018554688,1356.6854248046875,5.726886749267578
13,3.5142734050750732,3.7025818824768066,1006.3157958984375,1356.679443359375,7.603633403778076
14,3.453145742416382,3.6824512481689453,1006.3096923828125,1356.6751708984375,7.1017539501190186
15,3.332179546356201,3.670309543609619,1006.30615234375,1356.672607421875,6.399358510971069
16,3.4419548511505127,3.656917095184326,1006.302001953125,1356.669921875,7.400500774383545
17,3.0364086627960205,3.648681640625,1006.2993774414062,1356.6680908203125,5.72016167640686
18,3.0502936840057373,3.6193690299987793,1006.290283203125,1356.6610107421875,6.455853223800659
19,3.299243688583374,3.5871963500976562,1006.280029296875,1356.653076171875,6.010590314865112
20,3.3429410457611084,3.51412296295166,1006.2562255859375,1356.634033203125,7.668331861495972
21,3.2238986492156982,3.469437837600708,1006.2408447265625,1356.6207275390625,7.271183729171753
22,3.3171730041503906,3.391165256500244,1006.2130126953125,1356.5982666015625,6.964462518692017
23,3.417375087738037,3.3614907264709473,1006.201416015625,1356.5859375,5.247001886367798
24,3.249217987060547,3.314985752105713,1006.1828002929688,1356.568115234375,6.248281240463257
25,3.0834975242614746,3.273090362548828,1006.1647338867188,1356.550537109375,6.800996541976929
26,3.3126137256622314,3.202944755554199,1006.134033203125,1356.522705078125,7.188776254653931
27,3.0883827209472656,3.1655709743499756,1006.115478515625,1356.504638671875,7.27911376953125
28,3.232086181640625,3.127248764038086,1006.0942993164062,1356.4822998046875,6.615325450897217
29,3.097402334213257,3.098320484161377,1006.0761108398438,1356.463134765625,6.503330230712891
30,3.155120372772217,3.063260793685913,1006.0526123046875,1356.437255859375,5.987240791320801
31,3.1177899837493896,3.0313875675201416,1006.0281372070312,1356.40869140625,6.258979797363281
32,3.340359687805176,2.992661714553833,1005.9983520507812,1356.375732421875,7.4439098834991455
33,3.123504400253296,2.964120864868164,1005.9712524414062,1356.34326171875,6.3804004192352295
34,3.2245235443115234,2.8975672721862793,1005.91748046875,1356.287353515625,6.069751739501953
35,2.9638290405273438,2.8725051879882812,1005.8817749023438,1356.2415771484375,5.972554922103882
36,3.1656227111816406,2.835301637649536,1005.841796875,1356.189697265625,8.070279836654663
37,3.160633087158203,2.805323362350464,1005.8056030273438,1356.14208984375,5.998357057571411
38,3.069056749343872,2.761453628540039,1005.7529296875,1356.0753173828125,5.0121283531188965
39,3.1233386993408203,2.708483934402466,1005.690185546875,1356.0013427734375,6.3525848388671875
40,3.0359671115875244,2.679715871810913,1005.6375122070312,1355.9354248046875,7.346782684326172
41,3.262753963470459,2.6641786098480225,1005.5966796875,1355.87744140625,6.648586750030518
42,3.245314836502075,2.612434148788452,1005.5179443359375,1355.7841796875,5.662670612335205
43,2.88145112991333,2.5616674423217773,1005.4284057617188,1355.6826171875,7.472539186477661
44,3.055316686630249,2.501800537109375,1005.3172607421875,1355.5582275390625,5.628096103668213
45,3.074406623840332,2.4728622436523438,1005.24609375,1355.4703369140625,7.652855634689331
46,3.187506675720215,2.4262378215789795,1005.1353759765625,1355.3438720703125,5.507922887802124
47,3.0960803031921387,2.3803932666778564,1005.001953125,1355.197265625,5.655898809432983
48,2.852485179901123,2.340056896209717,1004.895751953125,1355.068115234375,6.550444602966309
49,2.9282724857330322,2.3138351440429688,1004.7833251953125,1354.9464111328125,6.90377402305603
50,2.969620943069458,2.292705535888672,1004.6575317382812,1354.80126953125,5.952322721481323
51,2.8699111938476562,2.250545024871826,1004.484130859375,1354.6102294921875,7.395328998565674
52,2.8940281867980957,2.2568483352661133,1004.417236328125,1354.516357421875,5.791250944137573
53,2.9431707859039307,2.253591537475586,1004.343994140625,1354.4158935546875,7.164900064468384
