epoch,train_loss,val_loss,val_mae,val_rmse,epoch_time_s
1,3.9791102409362793,3.783054828643799,1006.3382568359375,1356.69580078125,10.943944215774536
2,3.7175662517547607,3.7655887603759766,1006.3333740234375,1356.6923828125,5.002138614654541
3,3.8534278869628906,3.7473971843719482,1006.3282470703125,1356.6885986328125,6.634921312332153
4,3.9274682998657227,3.7331111431121826,1006.3241577148438,1356.6856689453125,5.788062334060669
5,3.910473346710205,3.7176401615142822,1006.319580078125,1356.682373046875,6.292780637741089
6,3.7705063819885254,3.7038397789001465,1006.3155517578125,1356.6796875,5.819066524505615
7,3.820772409439087,3.691349983215332,1006.3118896484375,1356.6771240234375,5.840925455093384
8,3.785952091217041,3.6785051822662354,1006.3079833984375,1356.6744384765625,5.447003126144409
9,3.6417341232299805,3.6678996086120605,1006.3048095703125,1356.6722412109375,5.554960012435913
10,3.649588108062744,3.6562297344207764,1006.30126953125,1356.6697998046875,5.505865812301636
11,3.629910469055176,3.6451733112335205,1006.2978515625,1356.6676025390625,7.588624000549316
12,3.7223033905029297,3.6350257396698,1006.294677734375,1356.66552734375,5.897022724151611
13,3.8443496227264404,3.627368927001953,1006.2923583984375,1356.6640625,5.787108898162842
14,3.6732168197631836,3.6209254264831543,1006.290283203125,1356.6627197265625,5.298324823379517
15,3.780064105987549,3.613438129425049,1006.2879638671875,1356.6610107421875,7.02334189414978
16,3.5269336700439453,3.603714942932129,1006.2847900390625,1356.658935546875,5.483948230743408
17,3.7257301807403564,3.596050262451172,1006.2824096679688,1356.6572265625,6.210034370422363
18,3.7350902557373047,3.589799404144287,1006.2804565429688,1356.65576171875,6.330723524093628
19,3.693265199661255,3.5816478729248047,1006.27783203125,1356.6539306640625,6.551947355270386
20,3.6624622344970703,3.5756707191467285,1006.2758178710938,1356.652587890625,6.051328182220459
21,3.6566262245178223,3.5688915252685547,1006.2736206054688,1356.65087890625,6.161735773086548
22,3.8595192432403564,3.561554431915283,1006.2711181640625,1356.6490478515625,6.19507622718811
23,3.6223599910736084,3.556213617324829,1006.269287109375,1356.6478271484375,5.60233473777771
24,3.6501998901367188,3.551535129547119,1006.2677001953125,1356.6466064453125,7.091956853866577
25,3.6835684776306152,3.5503666400909424,1006.2672119140625,1356.6463623046875,6.095562934875488
26,3.627164363861084,3.5441246032714844,1006.26513671875,1356.6446533203125,5.647236108779907
27,3.672332286834717,3.5396547317504883,1006.2635498046875,1356.643310546875,7.477534294128418
28,3.4581942558288574,3.5352070331573486,1006.2620849609375,1356.6422119140625,5.827759504318237
29,3.6079635620117188,3.5306568145751953,1006.2603759765625,1356.64111328125,6.873279809951782
30,3.538458824157715,3.525965690612793,1006.2587890625,1356.6400146484375,6.695465326309204
31,3.5910727977752686,3.522629976272583,1006.2576293945312,1356.638916015625,5.39716100692749
32,3.507852554321289,3.518897533416748,1006.2562255859375,1356.637939453125,6.762901306152344
33,3.67387056350708,3.5169639587402344,1006.2554321289062,1356.637451171875,6.82783579826355
34,3.6723361015319824,3.515648603439331,1006.2547607421875,1356.63720703125,6.231994390487671
35,3.6302127838134766,3.509054183959961,1006.25244140625,1356.6353759765625,5.635824680328369
36,3.6691231727600098,3.5072555541992188,1006.2516479492188,1356.6351318359375,6.888159990310669
37,3.4352381229400635,3.5022053718566895,1006.249755859375,1356.63427734375,5.60499119758606
38,3.5336668491363525,3.4970200061798096,1006.2478637695312,1356.6331787109375,7.03477668762207
39,3.527000904083252,3.4943504333496094,1006.2467651367188,1356.6326904296875,6.314405679702759
40,3.5872297286987305,3.489809989929199,1006.2451171875,1356.631591796875,6.313910961151123
41,3.614168167114258,3.4862561225891113,1006.2435913085938,1356.630859375,6.52857518196106
42,3.475203037261963,3.479104518890381,1006.240966796875,1356.6295166015625,5.4393603801727295
43,3.46243953704834,3.4710700511932373,1006.23779296875,1356.6279296875,5.542317628860474
44,3.577641725540161,3.4641060829162598,1006.235107421875,1356.62646484375,6.1142659187316895
45,3.474855422973633,3.458855390548706,1006.233154296875,1356.625244140625,6.653551340103149
46,3.487527370452881,3.454212188720703,1006.2313232421875,1356.6240234375,6.027062654495239
47,3.50290584564209,3.448356866836548,1006.229248046875,1356.622802734375,5.087434530258179
48,3.5700290203094482,3.4387125968933105,1006.2257080078125,1356.6202392578125,6.0238306522369385
49,3.5814857482910156,3.430891990661621,1006.22265625,1356.6181640625,6.485968351364136
50,3.5732858180999756,3.4235570430755615,1006.2197875976562,1356.6165771484375,5.970228433609009
51,3.4292802810668945,3.4206676483154297,1006.2186279296875,1356.616455078125,6.694809675216675
52,3.406689405441284,3.4168481826782227,1006.217041015625,1356.6162109375,6.933087110519409
53,3.4426655769348145,3.4146342277526855,1006.2161865234375,1356.6156005859375,6.491774320602417
54,3.4506947994232178,3.4073925018310547,1006.2135009765625,1356.613525390625,5.876727819442749
55,3.3486201763153076,3.39866042137146,1006.2099609375,1356.611083984375,6.6463212966918945
56,3.5833702087402344,3.3939528465270996,1006.208251953125,1356.6097412109375,5.884289026260376
57,3.4665820598602295,3.3857288360595703,1006.2050170898438,1356.6075439453125,6.622047424316406
58,3.44018292427063,3.3810243606567383,1006.2031860351562,1356.6060791015625,6.639341115951538
59,3.255141496658325,3.375647783279419,1006.2009887695312,1356.6046142578125,6.267218351364136
60,3.2936925888061523,3.3631651401519775,1006.1961669921875,1356.6009521484375,6.102467775344849
61,3.466834306716919,3.352391004562378,1006.19189453125,1356.597412109375,6.1925599575042725
62,3.3846309185028076,3.3426456451416016,1006.1881103515625,1356.5946044921875,5.8658599853515625
63,3.3781585693359375,3.334667444229126,1006.1849975585938,1356.5927734375,6.80000114440918
64,3.259650707244873,3.328878164291382,1006.1828002929688,1356.5908203125,5.154797315597534
65,3.408393383026123,3.320927143096924,1006.1796875,1356.5888671875,5.679328441619873
66,3.3904075622558594,3.3147268295288086,1006.17724609375,1356.5872802734375,6.573113679885864
67,3.2680110931396484,3.3077898025512695,1006.17431640625,1356.5853271484375,5.878912448883057
68,3.2678258419036865,3.295295238494873,1006.1693115234375,1356.5821533203125,6.154727935791016
69,3.3578710556030273,3.2893714904785156,1006.1666870117188,1356.580810546875,6.8022990226745605
70,3.1754250526428223,3.2811226844787598,1006.1632690429688,1356.5780029296875,4.925858736038208
71,3.3115382194519043,3.2698898315429688,1006.1586303710938,1356.574462890625,6.704578638076782
72,3.234071731567383,3.2584595680236816,1006.15380859375,1356.5706787109375,6.2240822315216064
73,3.416255474090576,3.2502222061157227,1006.1502685546875,1356.5682373046875,5.840208292007446
74,3.3006749153137207,3.247447967529297,1006.1491088867188,1356.5670166015625,6.429919719696045
75,3.2777493000030518,3.235543727874756,1006.1441040039062,1356.563720703125,6.991148471832275
76,3.3105177879333496,3.225217342376709,1006.1398315429688,1356.5606689453125,5.83332085609436
77,3.3559374809265137,3.217318058013916,1006.1365356445312,1356.5579833984375,6.557358026504517
78,3.215299606323242,3.2108514308929443,1006.1337890625,1356.55517578125,5.951317548751831
79,3.2580881118774414,3.203848361968994,1006.1307983398438,1356.5531005859375,6.971545219421387
80,3.148805618286133,3.2198991775512695,1006.1376953125,1356.5560302734375,6.68620491027832
81,3.4117496013641357,3.21339750289917,1006.1347045898438,1356.5538330078125,6.661292791366577
82,3.2032270431518555,3.2079176902770996,1006.13232421875,1356.55224609375,7.655880689620972
83,3.1727750301361084,3.2023470401763916,1006.1297607421875,1356.5511474609375,6.750768423080444
84,3.2197089195251465,3.1975810527801514,1006.1276245117188,1356.54931640625,5.177500486373901
85,3.22279953956604,3.1831905841827393,1006.1212158203125,1356.5447998046875,6.240546703338623
86,3.1717944145202637,3.1742422580718994,1006.1173095703125,1356.541748046875,7.069721221923828
87,3.329646587371826,3.1689529418945312,1006.1149291992188,1356.539794921875,6.515910863876343
88,3.283843517303467,3.155501127243042,1006.10888671875,1356.5352783203125,6.251599073410034
89,3.1471054553985596,3.1529879570007324,1006.1075439453125,1356.5347900390625,6.029552459716797
90,2.967949867248535,3.1433680057525635,1006.1029052734375,1356.5306396484375,5.211348056793213
91,3.164233922958374,3.137157440185547,1006.0999755859375,1356.5289306640625,7.225893497467041
92,3.0300822257995605,3.1295979022979736,1006.096435546875,1356.526611328125,6.69416880607605
93,3.103308916091919,3.118220090866089,1006.0911865234375,1356.5223388671875,5.191137313842773
94,2.9418139457702637,3.1058425903320312,1006.0853271484375,1356.517822265625,6.647686958312988
95,3.0068368911743164,3.094135284423828,1006.07958984375,1356.5135498046875,5.912915468215942
96,3.2038707733154297,3.08235502243042,1006.0745239257812,1356.5091552734375,6.676352024078369
97,3.1502108573913574,3.067446708679199,1006.0673828125,1356.50439453125,6.398308038711548
98,3.038306713104248,3.0565428733825684,1006.0618896484375,1356.5009765625,5.5792152881622314
99,3.0353317260742188,3.045379877090454,1006.05615234375,1356.4967041015625,5.8658764362335205
100,3.0004777908325195,3.036534309387207,1006.0518188476562,1356.494140625,6.029258489608765
101,2.968045234680176,3.0292420387268066,1006.0484008789062,1356.49072265625,7.119158983230591
102,2.930865526199341,3.020017623901367,1006.0435791015625,1356.4869384765625,5.824709892272949
103,3.031613826751709,3.010018825531006,1006.0384521484375,1356.4833984375,6.5061585903167725
104,2.995659351348877,2.9984378814697266,1006.032470703125,1356.4791259765625,5.814137935638428
105,3.0526373386383057,2.987576961517334,1006.0267944335938,1356.47509765625,7.690027236938477
106,2.825037956237793,2.9745051860809326,1006.0198974609375,1356.4700927734375,5.470405101776123
