iter	RMSE
0	1.182632788
1	1.126602499
2	1.07296872
3	1.023015774
4	0.9744328274
5	0.9300606761
6	0.8875542785
7	0.8464655735
8	0.8084406091
9	0.7711087336
10	0.735459668
11	0.7011625357
12	0.6695678588
13	0.6396873624
14	0.6112459287
15	0.5842857394
16	0.5577174644
17	0.5323001277
18	0.5077563936
19	0.4865414355
20	0.4654151813
21	0.4453855117
22	0.4263587824
23	0.407535965
24	0.3906716195
25	0.3731218135
26	0.3570194577
27	0.3422936675
28	0.327359479
29	0.3132072194
30	0.3003304922
31	0.2883812739
32	0.2766914628
33	0.2650197441
34	0.2541843506
35	0.2439585283
36	0.2346779077
37	0.2253609247
38	0.2167072745
39	0.2081624828
40	0.2001428681
41	0.192730624
42	0.1852866865
43	0.1793350512
44	0.1723628439
45	0.1667996074
46	0.1614418798
47	0.1563438406
48	0.1510259968
49	0.1464221101
50	0.1420987943
51	0.1374525172
52	0.1333807512
53	0.1297610908
54	0.1259826927
55	0.1225176244
56	0.1189485522
57	0.1160074771
58	0.1128566615
59	0.1098504636
60	0.1073107756
61	0.1045646384
62	0.1018208246
63	0.09959307102
64	0.09723508909
65	0.09523884034
66	0.09359477977
67	0.0917084496
68	0.090271513
69	0.08868231414
70	0.08713768322
71	0.085432018
72	0.08369274929
73	0.08220306876
74	0.08094466136
75	0.07967487069
76	0.07854072016
77	0.07730369875
78	0.07601122251
79	0.07485450961
80	0.07384661949
81	0.07295940646
82	0.07208763132
83	0.07121652108
84	0.07032591757
85	0.06965193147
86	0.06866928626
87	0.06796427251
88	0.06783623314
89	0.06773863754
90	0.06721551746
91	0.06660479184
92	0.06604025748
93	0.06549833045
94	0.0649793984
95	0.06489794641
96	0.06453205877
97	0.06429269783
98	0.0639669041
99	0.06339944693
100	0.06311085982
101	0.06302040513
102	0.06292220739
103	0.0625777839
104	0.06249490087
105	0.06200358578
106	0.06193888594
107	0.06187999764
108	0.06140189337
109	0.06090514133
110	0.06058003215
111	0.0602232336
112	0.06013836117
113	0.05956123228
114	0.05950109196
115	0.0592031212
116	0.05883497249
117	0.05838712366
118	0.05829202537
119	0.05822385336
120	0.05786772441
121	0.05746642846
122	0.0573763912
123	0.05733680423
124	0.05716166821
125	0.05672320882
126	0.05665932713
127	0.0566095413
128	0.05632461364
129	0.05627774758
130	0.05612195282
131	0.05571528877
132	0.05564639225
133	0.05554228533
134	0.05550126715
135	0.05542046124
136	0.0553826753
137	0.05515630898
138	0.05511426595
139	0.05494070172
140	0.05438290442
141	0.05418552506
142	0.05394940934
143	0.05362733441
144	0.05351059867
145	0.05322480011
146	0.0532012639
147	0.05315865351
148	0.05290290814
149	0.05279194725
150	0.0527628574
151	0.05273755835
152	0.05226230458
153	0.0521555439
154	0.05212847996
155	0.05177838271
156	0.05175432006
157	0.05160259775
158	0.05145167905
159	0.0513738641
160	0.05128437402
161	0.05118980407
162	0.0511693984
163	0.05113572441
164	0.05110439209
165	0.05107349393
166	0.05104909212
167	0.05064768379
168	0.05062694295
169	0.05059392198
170	0.05049873185
171	0.05036203356
172	0.04996690972
173	0.04964812379
174	0.04958679866
175	0.0494569482
176	0.04942998704
177	0.04941218579
178	0.04939738044
179	0.0493803848
180	0.04935581913
181	0.0493374404
182	0.04931303492
183	0.04929567819
184	0.0489334585
185	0.04861452389
186	0.04859957435
187	0.04848290977
188	0.04846704836
189	0.04844469775
190	0.04841252168
191	0.0483994686
192	0.04838497383
193	0.04837076801
194	0.04807583074
195	0.04784929546
196	0.04783548568
197	0.04764871182
198	0.04760358711
199	0.0472916711
200	0.0472788806
201	0.04714404756
202	0.04713160337
203	0.04710848219
204	0.04709676671
205	0.04707859623
206	0.04680556556
207	0.04662824265
208	0.04638438745
209	0.04637354589
210	0.04621097983
211	0.04619014664
212	0.04617990968
213	0.04616992293
214	0.04597013391
215	0.04590985454
216	0.04590040061
217	0.04589117969
218	0.04567587185
219	0.04547569519
220	0.0454669278
221	0.04528288427
222	0.04527454286
223	0.04522099647
224	0.0452131277
225	0.04498587016
226	0.04497822197
227	0.04497076258
228	0.04491250441
229	0.04473358437
230	0.044535761
231	0.04452883759
232	0.04439614648
233	0.04438952845
234	0.04438307505
235	0.0443767811
236	0.04425259975
237	0.04407877374
238	0.04407265622
239	0.04406668994
240	0.04406087118
241	0.04389734749
242	0.04376813251
243	0.04364062291
244	0.0436350945
245	0.04362970291
246	0.04348096544
247	0.04347579133
248	0.04347074539
249	0.04346582446
250	0.04333206611
251	0.04332731871
252	0.04319065573
253	0.04318609698
254	0.04318165121
255	0.04308355737
256	0.04307923141
257	0.04307501267
258	0.04297212036
259	0.04284758991
260	0.04284354967
261	0.04283960969
262	0.04283576747
263	0.0427346731
264	0.04261967756
265	0.04261601399
266	0.04261244148
267	0.04252281622
268	0.04251935379
269	0.04241202239
270	0.04240868477
271	0.04239786363
272	0.04231756957
273	0.0423144129
274	0.04221660674
275	0.04221353937
276	0.0421141197
277	0.04211115904
278	0.04210827205
279	0.04203720717
280	0.04203443063
281	0.04196370994
282	0.04188447243
283	0.04188179857
284	0.04182556419
285	0.04173448174
286	0.04173153491
287	0.0417290474
288	0.04172624604
289	0.04163924632
290	0.04156526001
291	0.04150619025
292	0.04149732424
293	0.04148868236
294	0.04143587448
295	0.04143331922
296	0.04138418797
297	0.0413761715
298	0.04130845632
299	0.04130606309
300	0.04123346428
301	0.04123146343
302	0.04122951237
303	0.04116629243
304	0.04116407135
305	0.04107922429
306	0.04107156695
307	0.04106945752
308	0.04106203709
309	0.0410045336
310	0.04099734147
311	0.04095993585
312	0.04089008831
313	0.0408881571
314	0.04083261212
315	0.04074719754
316	0.04074534457
317	0.04074380513
318	0.04071228142
319	0.04070568817
320	0.0406992581
321	0.04066357907
322	0.04066193691
323	0.04061231607
324	0.04060617367
325	0.04060020045
326	0.04059864182
327	0.04053699782
328	0.04045123699
329	0.04044974144
330	0.04042971041
331	0.04042828445
332	0.04042690029
333	0.04042555655
334	0.04041353372
335	0.04037701895
336	0.04037574013
337	0.04035713741
338	0.04030234336
339	0.04030112894
340	0.04029994809
341	0.0402450863
342	0.04020314864
343	0.04013486275
344	0.04013372947
345	0.04013262979
346	0.04012195244
347	0.0400417825
348	0.03999043302
349	0.03998030159
350	0.03995021783
351	0.03992179206
352	0.03985583186
353	0.03980997111
354	0.03974830775
355	0.03971267489
356	0.03968762159
357	0.03966927881
358	0.03961253862
359	0.03958352561
360	0.03958273657
361	0.03958188641
362	0.03953851286
363	0.03948481722
364	0.03948400265
365	0.03948321031
366	0.03948243956
367	0.03941077059
368	0.03941002282
369	0.03940696693
370	0.03937506194
371	0.03933611081
372	0.03931008766
373	0.03930944226
374	0.03930881308
375	0.03927192302
376	0.03922044395
377	0.03921153716
378	0.0392109544
379	0.03921035986
380	0.03918929792
381	0.03915824731
382	0.03913864853
383	0.03913115733
384	0.0391123457
385	0.03905363423
386	0.03900725134
387	0.03900673502
388	0.03900216142
389	0.03897479731
390	0.03896000284
391	0.03890749084
392	0.03890698305
393	0.03889731032
394	0.03888265531
395	0.03886888705
396	0.03884878743
397	0.0388271782
398	0.03882671732
399	0.03879386635
