Noise_Level_%,MAE_kg,RMSE_kg,MAPE_%,R2_Score,Within_50kg_%,Within_100kg_%
±0.0%,64.91,144.78,4.91,0.9834,77.8,85.7
±1.0%,64.9,144.78,4.91,0.9834,77.6,85.7
±2.5%,64.89,144.79,4.91,0.9834,77.7,85.7
±5.0%,64.94,144.94,4.9,0.9834,77.7,85.7
±7.5%,65.0,145.16,4.89,0.9833,77.4,85.6
±10.0%,65.09,145.43,4.88,0.9833,77.4,85.6
±15.0%,65.4,146.1,4.89,0.9831,77.2,85.5
